blogs,points
那我真不知道该怎么跟你解释了！一群人聊聊天不是挺好的吗？,3
你说到哦！嗲的,1
嘻嘻……讨厌,5
来抱抱……,0
爱内,1
很难得你从良啊,1
是哎天天玩吃不消好好休息休息,3
我们家院子里。。,0
老大？把你闺女的鬼照片让我看一下,4
表情过于严肃不够阳光不够灿烂,1
够烂了,3
杂某杂某你就只想着杂某事情别办了,3
哈哈，说着玩啦，去新疆是出差办正事啦,5
或者说只有国外才会有这种奇迹,0
是…中国土壤不行…好创意出头了，还有腾讯这个怪物,1
薇什么？,0
我今天和明天开会！！我要疯了,4
谁不是啊有空去看看我车，这特么贼闷，又木有靓女,4
你就该把车钥匙留给我，整的我今天开着公车到处跑！,4
果断表示感慨在等白马王子滴童鞋~~,5
我看到的是白马入手的你在岸边看在渡河苦难的我，哈哈,2
牛人！！,1
这个人可以写自传了,0
知道你会是第一个围观的，嘻嘻！！,5
呵呵！来吧！姐，在这等你们嘻嘻,5
我今晚做了一晚上孝敬爸爸妈妈的事情,5
什么事买了一对情侣鞋给他们？,0
你玩的好爽哈哈,1
姐，还真的爽，四川真的好地方呀,1
你吃的东西我听过但是没见过这么给力的写法！哈哈，圣诞快乐！,1
失误失误。哈哈。今天还算快乐。,5
你最近怎么样?,4
还可以小日子比较潇洒，不过指定是不比你当年呐~嘿嘿你呢？,1
看得好仔细啊！错综复杂的四角恋要开始了,1
期待八哥和晴川间的感情赶紧明朗化。超级讨厌四阿哥跟他老婆,1
我是真的病了噢，就是被你害得，,3
关我什么事哟？我又没传给你。是不是被哪个男人传染了？,4
下午到几点？准备中饭后过来,0
下午到3点结束~,0
我臀围92~，我这个身高算标准了~,0
要不要这么性感哇，我原来屁股有98,1
生日快乐,5
谢谢谢谢啦,5
有缘千里来相会，无缘相识不相知。,1
相识不相知，那叫有缘无份。,0
这是睡莲？？？我不想跟你们讲话了,3
这是什么？为啥不和我说话！,4
我是自由职业啊，貌似你工作并比较忙啊！,3
哎，羡慕嫉妒恨啊，那你不更早去,2
我想了解自闭症是否属于办理残疾人证的范畴？,0
是，具体请咨询当地的残联,0
哥哥你还好吗？,1
我很好，在北京拍摄新戏，一个电影。,1
不错哎,1
"淘宝有卖，2,3块钱",0
这个不怎么会弄，帮我拉人吧,2
嗯嗯，睡才也在的呢。,5
那个人太过分了,3
你可以揍他！完了！晚节不保了！哈哈,4
我也觉得唉...蛮清楚的,2
我发现我的手很纠结么~~~,2
看来你现在还是很闲啊。。。,3
哈哈是滴！！你休息的怎么样呀？,5
哪天非给她灌多。。弄个大尺寸哈哈,4
不用你爆我经常自废武功,4
表扬自己呢,1
不是我啊，前天不还在冲你暴躁呢不是？,3
真的呢！我也这么觉得,2
真是上当了！感觉新品都不如老品。呵呵,3
原来你不是南京人啊，就当鸡肉吃就是了,3
我本来就不是的唉，这种食物真血腥。。,3
好想每个都要啊,1
素哇素哇~~,1
感觉就是一个景,0
感觉没错，那里抬头随处可见到的就全是这些景观，导致最后就是审美疲劳,3
不介意做个伴校友嘛快来给我送票,0
票还在那，你们私信?,4
下次请我吃啊，我吃10个就饱了。,1
才十个太少吃太少林总会不开心的,3
有很多不是在片花里出现的片段，请问在哪里找的,2
还有个土豆的人物片花啊难道你们都不知道吗那个很虐的,3
怎么老虎变老鼠了啊,0
我属鼠嘛，,4
亲你可是在刷屏啊,0
什么叫刷屏,4
辛苦了会一直支持的！,1
谢谢我们会一直努力的~,1
个老子滴，见风就是雨！,0
啊~没风也没雨啊！！哈哈,2
早上被雷声吵醒翻身继续睡的飘过……,2
现在很想伤人虐童报复社会神马的有木有,4
患者们来看这个怎么样？,0
我以为这样可以治愈多毛恐惧症,2
这个眼镜本身就很灵异……,3
哈哈，去买一副来戴戴,5
我走过好多次啊~~,2
我很久没有去啦,2
肿么了？,3
上京的垃圾评委，说火丁音不准。,3
那你得多学点关于唐朝的历史，学学杨幂，,3
古代史我最喜欢唐朝了~~,1
怎么风湿一样？,0
哈哈，因为那边牙齿要出动了,5
边个猛男甘犀利,0
正是江湖人称五纹龙噶龙哥。。,0
为什么这样说？,3
你是真不知道还是装糊涂？,3
枯荷又去检查了？,0
白去了啊，都挂不上号，不晓得这号咋这么金贵啊。,3
系比赛定系咩啊？,1
仲未清楚，迟下话你地知啦,0
你竟然会折玫瑰！！？,1
会一点吧，只会两种,0
今天申花球你去看吗,0
今天是绝对绝对要去看球的。,1
别装啊，明明是大酒量,4
相信星座的力量吧,1
什么评书？,4
有个叫花云龙，准备大战中原一点红。,0
谁说的?,0
高三个朋友讲的…,0
人家李刚后台硬，中央都让他上去哭了，我们还能咋滴？,3
尼玛演员想上央视都觉得老光荣了，这个上央视却轻而易举,3
是学校的错！我爸说当村官是为了贪污的~,4
只要跟公务员搭搭边的都是为了腐败…,3
被狗叫醒..,4
你还养狗狗了？,4
想案名的人伤不起。所以我建议不换案名。。,3
女旁友最油菜！,0
淡定淡定,0
靓颖撒！,1
祝你们相爱到白头撒,1
唱歌曲吧,1
我当年哭死了啊哭死了啊。,2
我也是啊我也是啊！之后我九森森地爱上了肖童。。,1
给丫抢了！,4
不行君子不夺人所爱嘿嘿偷偷仰慕一下得了。。,3
唷~小宝贝，现在是朋克风呀~,1
"我不是朋克疯,是没得疯。就差梅超风了",4
呵呵,0
以后保证认真点，以免误解人意,0
闲愁啥呢？今晚吃火锅还想起专业姐好喜欢搞恰的啊,1
不愁啊…你们好久到我屋里来恰不？我好久没搞大餐手痒了,2
恩，完全可以从右侧的元老苹果判断,1
你以为你的指型还不够独特么。。。,3
"哟,您脾气大啊,容不得误会是么。",1
那不得分什么事吗？…没弄明天就说我。我能不生气吗我,4
你太伤我了,2
脱毛线饭啊你脱了我请你吃饭噗,4
欣欣向荣,0
美丽的花儿，总要开过的,1
为毛儿你有这种感觉有故事噶,0
么还不是某些消失的人，一出现就给我打了十针鸡血！,3
把中间那个字去掉好了。,0
太模仿了吧。,1
又回来了？,5
恩，回来治牙，痛苦，我现在在家,2
你都闻过？,0
污蔑！这不是我发的！,4
给我呸呸呸,4
呸呸呸,4
咱们要相信微博的实力。请我吃饭！,3
把你们领导拉那边坐坐。。。,4
高难度的姿势、一般狗狗学不会,0
哎妈！它就不是一只正常的狗狗！乐死我了！,4
美女,0
嘿嘿谢谢~,5
一边去,0
切。。怎么听吖，搞毛线吖,3
喝的？毛像爽肤水的瓶子,3
是像花露水的酒,0
今天该你高兴。下星期你就晓得了。,0
下个星期，曼联对利物浦？,0
原来是酱紫，都飞回家了啊？,2
应该是。这样才能体现我们国家的强大,3
恩早上的是实话！唉'伤不起啊！,2
看来我太善良了...幼小的心灵总是被骗,1
哈哈，就知道姐你一定能行的能发个上镜照么,5
有上说挺上镜的，以为是哪个名人，自找的东西更美啊,1
你是练车还是郊游……,0
哈哈要发现生活中的美嘛！,5
傻瓜！那是吃腻了,0
不是，绿茶，奇异果，这些会腻吗,0
为啥？？？我讨厌他,4
唱歌好好听啊，好有味道,1
得瑟。。。刚回来也不歇着,2
哈哈哈刚给你打电话你也不接~~~,5
嗯，从苏州过来的，明天就要回来了。,5
我去过苏州，给我感觉非常的好！好好享受吧,1
我回来了再去,2
过得开心么，马骝,5
和你的名字有关吧？,0
有点意思，看来美女都比较聪明奥,1
恩，我应该是我吃到的最好吃的甜品之一，走过路过千万不要错过,1
冰沙变成汤来喝！,0
你都不来深圳看你妈，不孝女。。,4
呃……对了古古你国庆不是要回景德镇吗我也回呀你什么时候回啊,2
痛苦的周一~,2
烦死人的周一快过去了，太棒啦…,5
装无辜！,3
人家本来就不知道嘛。还小呢~,3
开心叫,5
开心叫？爽！,5
肿么了？,3
身体出了点小状况，年纪大了,0
袋鼠了蛋皮~,0
你敢不敢不这么有才？,3
你无？我好似睇到浮肿。,2
我里点青少年无人看的上我。哎…,2
是啊，中午到，晚上就要走了,0
可怜的孩子,2
如果再多那么一点那个味道就好了，你懂的。还需要一些时间。,0
那个味道已经有了，就差个懂欣赏并珍惜的人啦，哈哈哈！,5
你就是个鸡吧,0
你有本事打电话骂，别在这上面骂,4
大爱,0
最爱！！,1
这么快就开学了？,5
是的啊我们在玩爱游戏,1
吃药去。快,0
吃鸟现在的药不是仙丹靠哥自个还厉害点！,3
安放在心里~~,0
仅仅把自己不同阶段写的东西整合在一起，已经很不容易。,2
我还以为是侧云~看错了。,2
则云古阵走红啦,0
还是这个好看啊，爽爽爽。,1
哈哈。爽就好。,5
得在营业厅办理这个套餐的么~~才有这个抽奖活动么。,5
有神马套餐给力开通了，我也想参加抽奖啊，奖品这么给力呀。,1
我们部队也有条狗，名字忘了，我们把它做成了火锅,1
靠，嫩太变态了，咱以前给学校咋没想起来把火锅做成火锅吃喽,3
因为第一个已经说了嘛,0
正确答案是，两堆或一堆。,0
加班都自己喝。,0
可惜我不在广州！不然也去找他喝了！,2
你一发微博就是在博同情`!,0
因为我确实可怜。但我不需要任何人来同情我！,2
竟然不叫我、心碎了,2
七夕都无野做拉。大头应该生日之前都陪不到我的了。唉~,2
赞的带上我也是我老姐生日、哈哈,1
有的姐姐、还有吊娃娃的,0
这个入乡随俗知道不，我在郑州,0
你这是在骂郑州人都是娘炮吗,4
涨工资是不特可能了物价应该还上涨,3
物价比工资涨的快啊,3
徐闻咯,0
终于找到了,5
还是少吃比较好呢！一个月一次！哈哈,0
我超喜欢吃的，55555555,1
什么叫有所担当，那叫抵赖吗，明明就是讽刺好不,3
还真稀奇了，难道讽刺二字还是褒义词不成？,3
挺可爱的麻,1
就是嘛就是嘛……,3
官迷啊，想当第一夫人嘛。,2
好犀利哦,1
我觉得照片不像是概念的啊。。。,3
这不是标准的概念嘛--,3
云？晕！太耗流量了。,3
阿里是为自己的应用推广做的，合作的伙伴不够理想,0
有胆量，呵呵,0
骑到太湖逛一圈，再返回。,0
番茄蛋花汤??,0
我同吖咪一齐做咖！,1
您现在唉，不可同日而语了呀，您还记得素质这词儿吗,3
啥叫真实啊？你们都还没弄明白人生啊~,4
凤梨酥又不是只有台湾产。。超市就有,3
超市不正宗啊。。味道不一样的。,3
还不回来,3
7号中午到北京明天去宁波,0
你能看到我的文字？,0
我看不到你的文字，你说什么了？是不是在骂我？,4
你真的是女的吗真的是女的吗==深表怀疑,4
靠！为毛我不是女滴？,4
哈哈，我们学院吖。在微博祝肖老师节日快乐哟,5
谢谢鼓励。我们都有加油！,1
试下咪知咯,0
哎！你地黑心！我霖住你地比答案我咖嘛！哈哈,4
偶稀饭,1
矮油，刚醒，哥哥我明天来公司画！,0
免费收购,0
先交钱再说~哈哈…,5
这是个啥世道啊?,4
动车与高铁是两种方式，金温铁路是地方自营的，你查一下。,3
我也觉,2
完全跑题，难道木老师表扬的就一定想上么？抓狂,3
我是说来机场,0
我叫你买车么不买，我到那里去弄车子来接你！,4
嘎漂亮！,1
你怎么不要我电话号码？哼！,4
阿呆，8根啦！,5
5根吧，另外3根燃光啦,0
哈哈，是的。我还是觉得嫩点好,5
唉…女人一辈子就和头发和钱过不去！,2
卖得太萌了论家受不了啊！,1
晚安哦亲~晚上见~啊哈哈~,5
哈哈哈木有关系啦~~,5
没有大表姐的照片，我不开心，,2
这个假日过得很充实啊,1
开车开车开车，刚刚才到家，累死了！,2
他爹幸好不姓李吧。。。,4
幸好不姓李哦,4
哈哈。不过没有恶意，我一直觉着人到方鸿渐的水准，世界已经很美好了,5
我靠其实我挺欣赏方鸿渐我觉得他挺渊博的又很幽默有魅力的男人,1
多喜感阿,1
姑娘你肿么这么喜感啊。,1
请问，这和焦糖玛奇朵是同类吗？,0
焦糖玛奇朵里加了牛奶和焦糖酱,0
我也喜欢路虎,1
哦，我超喜欢红色的。,1
你肿么啦?现实不像幻想那样么？,3
唉不想说了没心情没心情我也想生活在幻想里,2
亮不起来了，等云散了，后面也该天黑了,0
22点以前应该会停吧？,0
支持！,1
老师在讲乐嘉的性格色彩论,0
又看上谁了？,1
结合身边的人挖掘的！,0
可以爱东北菜，但是我不是东北媳妇了，单身的我天南海北随便挑啦,1
你给我找个外国姐夫把~,4
呵呵，，，也是,5
你很会让别人习惯你的习惯。然后变成自己的习惯！,0
这真的是我见过的最帅伴郎,1
开心么得意不。,5
现在潇洒得很,1
你们几个姓曾的，我恨你们。,4
哈哈，我已经好了，你可以去看看,5
是怎么治的？激光还是吃药？,3
你还得奔一年的~,0
别再提我伤心事…！,2
她肯定记得你。每天看到就会记起呀,0
希望吧,1
做玄彬很好啊你觉得你会第一咩切,1
以我的实力可以的，争取第一,1
剪了没？希望没剪呀。我头发剪了都后悔了,2
剪了，确实后悔老，哈哈,2
你都第四名了肯定准啊,0
问题是不是和牛儿，是强扭的跟天蝎一起才是第四,0
喝酒酒，好羡慕~~,5
结果都木有喝，跟一个姐姐聊天聊到最后,0
不会这么倒霉吧！,3
哎！计划没有变化快啊！,2
原来医患矛盾是媒体造成的？唉！一叹！,4
我很后悔今天太清闲了。突然觉得自己很无聊。,2
是狮子会的车？,0
不太清楚，是广东的，车上写的红色广东，挺进大别山什么的,3
不好不好一点都不好,3
口怜的孩子，你不入地狱谁入地狱嘞……,2
大龄。多大算大。,0
在1982眼里已经属于搓堆卖的那类啦，我心碎的悲哀嗷嗷的啊,2
现在还不会，等会了应该就不搬凳子了吧。,0
那可说不准哦~你闺女1岁多得时候，还吃手指头不？,3
最近怎么拉,2
单子捏在手上搞不到货~哎~死的心都有~,2
你们两个杂个混在一起了喃？,3
他现在还在我寝室在我旁边坐起的哈哈~,5
回去就！！,4
哈哈哈我下午就回去了给我一座金山我都没办法忍受这里半天！！,5
谁喔。那么没用哆。肯定是失常了。,1
冤枉了，那你咩很可怜那她好了么,2
我发现最近我不通话变差,2
没有关系哈、只能纠正就好啦~,5
是个,0
程手艺十三香！！！,1
不用解释咯,3
迈啦。我科你们弄颠了。你们理解错了。我死科你们看,4
腰部的用力也要匀称,0
难啊难！,2
我靠…还真可爱…,1
这种虫子好像和蚂蚁是共生的关系，蚂蚁喂养它，但不知道用来做神马。,3
好像在小北门那边吧，你去看他微博嘛~,3
哈哈，要的，我倒要看看他们是神马异类，,5
支持支持,1
哎。。。我个懒货,2
想起你,0
哈哈哈我又赢了,5
你明天什么时候走,0
三点的车到深圳也不晚吧，直接到你家那边麽？要姐去保护你么？哈哈哈,4
你说刘海？,0
是阿~你说衣服？长款拖地裙阿~我不耍流氓的,4
看到那个妈妈摇应援扇实在太感动了催泪,5
我之前听这首歌还没有感觉出来，可以一听现场版，哭了,1
下次还带你去啊，臭美妞。,1
必须感谢你我腐败生活的支持！,1
快回家旅游啊，咱给你当导游。,1
好哦，届时游遍每个角落,1
我就不客气地第一个评论了啊哈哈哈，明天有那么开心的活动不蹉跎不蹉跎~,2
哈哈对的对的，明天肯定不蹉跎,5
不喝点牛奶加个单面鸡蛋,0
在等厨师煎。这不是为了表示我吃的少嘛。哈哈,3
人家佩服你,1
恩恩恩恩，我也觉得我很有才说出话的都是经典啊亲,1
我只听说过肚子上有些会长点点,2
你要注意身体哟要开始少上网了,0
就是就是！,0
希望我们永远都幸福！,1
有那种时而正常，时而不正常的明星,0
都特么一个味儿~七情十六欲~更不靠谱,3
这是某大妈的经典作风背后捅刀子啊,3
不知道他看到有何感想呢,0
你掺了，忘了我姑娘了吧,2
一会去树上再采一个,0
又去看电影！,0
在家看的啦…,5
他先骂我的,4
乡他妈批！搞死他！,4
活了十几年了生日从来没有过蛋糕说起就伤心,0
小可怜啊……,2
哪里可以买到的呀，太可爱鸟,1
过段时间会有的,0
最近酒吧频率很高哦,1
因为你不在啊，想念远方的你！,2
今天七夕吗,5
周三至周日，情人周主题。,0
题目买没有定，答辩申请怎么填写呢~~,0
大概标题填写上去呀,0
中国可能执行有困难,0
实际上在这一点上，中国已经走在美国前面了。,0
春阳的头像在哪都是一朵花。,1
本人就是一朵花嘛。,1
其实真正的情侣没来。。。,0
哈哈神武,5
每日更新围脖的同学才是好童鞋。,5
人闲长头发，心闲发微博！,0
别这样..显得我很禽兽,3
没事，我们不会嫌弃你的，食、色性也,3
还有谁啊,0
上次佳丽门口见到的那群姐姐！,0
七号的继发恐惧是啥呀？,2
担心自己的行为会带来痛苦和不幸,2
哈，是逃课专业啊！,5
瞧我的，比你的专业给力吧,1
貌似这个~,3
我记得偶然看到过，现在想用了，却找不着，笨死算了,2
哈哈。这个心态还挺可爱的。,5
还有诸如买不到合适衣服裤子，也可以此类推…,0
辛苦啦。,5
感谢您的关注，我们携手努力，共促和谐。,1
那些都是眼子哈哈,3
确实，浪费时间，但是这样的教育还要连续到军训为止,3
饭妈要闹哪样啊。。我最近各种胖,4
我会再接再厉的=。=,1
校长来广州吧！,0
很期待！要安排一下。,1
为什么会让别人替你收拾了？？？,4
不是我弄乱的啊。,4
这哥们唱得不错呢就是摇头摇的我直迷糊,1
哈哈。,5
怎么长哪舍得剪,0
对啊但是爱掉,1
呼，我离开昆明，开往大理…,2
大理情结很严重嘛。,3
请气运丹田，仰天长骂,1
当成他参加了奥运会我在给他加油助威？好主意,1
发生了神马……,3
作文课拿我的做反面教材,0
摔跤啦,0
在走廊里奔跑的时候，撞到老师笔记本电脑的角上面了。,0
皮蛋豆腐感觉不错！,1
伙食还好吧，嘿嘿！,5
哈哈，北京那当然。但我在成都啊。,5
要不就网络办公，要不就错开上班时间。,3
都无法辟谣了。他永远都不会利用粉丝的,3
韩寒还不赶紧辟谣！,4
要啥手表？,0
凭啥说我妈老……,4
我呢？,2
你没告诉过我呀想念你的零食,2
问题是，这么大单子，校车必须国产,1
你是在说世界第一工业大国谈校车订单外包么？,3
好明显…你得罪我们了…大众怨气难消喔…,3
最多我请吃臭豆腐啦,3
我爱这个裙子,1
我爱她手里的宝丽来~~~,1
没关系,2
嘻嘻…,5
赫赫，可惜没有我！,2
露姐你来了就更开心了哈！乖，想你！,5
呵呵，要快,5
我没来你不准偷吃哦,4
记住每段故事的精彩之处，一生都可以收集美丽的回忆。,1
是的，精彩无处不在！,1
姐姐不能夸，这我才不敢见你了！,0
晕死！！我想起来你上个星期放我鸽子的事了,4
发生发生虾米了。,0
阿硕~背书背的好累啊~发泄下。,2
水果车惹的祸,0
一个水果引发的城市血管栓塞,0
安逸撒,1
不错，突破0了,1
恩，咋的？,1
有钱人，小康，暴发户，土大款,0
最近来的有点勤...,3
强烈要求欢哥下次把小戴带过来玩~,1
"我会努力的,也谢谢你的支持",1
加油!!!,1
坏，衰…成日虾明少！,0
多谢多谢…过奖过奖,5
后来跑哪去啦。,0
跑去后街女孩是吃肠粉了,0
岩听,0
唉无语了！,2
你也去啦?人多的一腿。,0
刚从星光大道回来，今天几乎都在桥北。,0
颜色太单调了。不过还是很漂亮滴,1
嗯，斑驳是一种美，纯粹的单调也是一种美。,1
正解！,0
大部分人还是期待稳定的！,1
我觉得这个表情很随性啊,1
天凉了，多喝红茶。,0
谈点别的行吧搞你人的啊,3
哼你敢搞我娃子人，我就敢说,4
喔呦开春咯~~希望2师傅早日找到知心爱人,5
呜呜，找不到啊，徒弟最近怎样,2
国足看起来好紧张啊,0
对处理紧逼还是不太适应,3
不得不承认，你很强大,3
下次遇到怪兽打电话我,0
想家啊多找些同学关注我啊,0
涂涂的微博，同学们关注哦,0
不不，你要速度哦！,1
母要吓我啦！万一没房我就成千古罪人啦,4
明天明天明天,5
欢迎欢迎！,1
那是。不过今晚都卖出两台手机。,0
你好坑爹啊！卖的什么手机？,4
强烈建议他飞去杭州吃下,0
纯属糊弄人么,3
她还会玩三国杀啊,0
我平时玩的是英雄杀，三国杀好多人物不知道是谁，技能也弄混了，,3
要学会抵挡诱惑,0
都是空虚寂寞的人啊，可以理解吧,2
这联想也是无人能比,0
不许笑话我啊,4
是啊老屁了,3
喜欢段林希,1
发条微博求领养猫咪吧,0
不，我就要深大那只小黑猫，迟早要得手,2
还以为是小s呢，更好看而已,1
我这个头发被很多人说了像，便宜有好货啊。你神马时候肥来？,3
呵呵，瞎拍,5
挺不错的，创意,1
怎么样怎么样？,4
我们主要觉得太少了，很快就走完，有点不划算、,3
哈哈小邬御用,5
一猜就知道是他……,0
这洋气，还是走国际航线的,1
被表扬了心情就是好啊,5
你那几根秀发…很快干的！,0
我可是一头浓密有乌黑的头发啊等到何年马月啊！,2
开玩笑开玩笑,0
"不过建议不错,以后照这试下哈哈",1
我现在好像越来越不喜欢洪辰了，怎么办？,3
又受啥刺激了？不过她这次的宣战口号是傻了点！,3
这感觉相当怀旧相当美好,1
妞喜欢这种怀旧和美好,1
生日快乐,5
哈哈你也是啊生快啊生快啊,5
为什么不晚上做给我们吃呢？,0
你要小心了噢，嘻嘻。,5
肯定在家噻。他又没和我一起来四川,2
那还问我。人家也没陪我来河北撒…,4
我觉得可以，我比较习惯这个,1
哈哈，好啊，期待中,5
你今年冠军拿了不少哦，话说我觉得处女的比较准啊,1
话说你这个星座属相比较擅长拆穿哦，有木有有木有哇!,1
哈哈，我整个预测反了。,5
听小屁说，广电总局有时间限制的，所以很仓促!,3
跑去哪里玩啦？,5
在桃花岛呢，好美的,1
两个挫男。。。,3
多么英俊的帅小伙,1
近看其实也蛮粗饿~哈哈~肉松,5
表谦虚个子高就是好，腿长我们都是小短腿,0
系咯!!!但是你弟弟穷死了,3
我现在很困，还失眠,2
得减多少斤呐？,2
达到155磅，基本上是70公斤,0
只有大拇指上有,0
咨询一下《健康新概念》的主持人。,0
哈哈你做虾饺女个张最搞笑,5
我觉得最搞笑林峰果张！笑死我！搞到我好有幻想…,1
还行啦,3
怎么个不行？？？,4
老公是个大花痴！！！,4
有你这么说你老公的么？哼！,4
真的,0
你女朋友水瓶啦,0
人生很无奈啊~~,2
人生艰难啊。。,2
是进口~放心！说明都是日文,1
不保障了~不能有日文版~人人都知道了日本出口大部分都是三流最垃圾,3
睇来是业务繁忙啵~~~,5
讲得好就业务繁忙…讲得唔好听就系…穷孩子…,3
我喜欢,2
喜欢就好嘛,1
哈哈！！爱你,5
我也爱你,1
冒烟的长沙…狂汗的长沙…,4
悲伤的长沙……生不起死不了的长沙,2
语句不通顺啊。竟然,2
这叫多种语言。一般傻的人不懂,3
在电视上看到，那么多车都泡在水里了,0
我在想亚运会怎么办？？？,4
手术成功么？,0
医生说还好，可我桡神经和尺神经受损，这个比较麻烦，哎,3
我猜中了你为什么还有伤心呢？,2
我是谁？为什么伤心？,2
你妈有点土哦，长得也比你差远了！,3
你在批评我妈么哈哈,4
贴喜字是技术活哦,0
贴的我好累啊还有扎红丝带……晚上还要打气球,2
你在那儿偷笑嘛！,5
我是为他们的员工打抱不平嘛！真是的！,4
都是夜猫子,0
哈哈，还有比我更拼命的。,5
18碟，小意思，小幅幅啊么发挥来,1
除了这个还有很多别的菜……那些就能吃撑了,3
噢，长发短发都那么迷人的菁姐。,1
囧这么热的天都被你弄冷了,3
呃，是很奇怪的感觉,2
与其他找个看不顺眼的女人还不如不找女人-。-,3
生日快乐~~,1
哈。小娃娃谢拉。郑州今天好冷呢多穿衣服,5
改天给你看个更给力的。,1
期待……,1
祝王老师国庆节快乐，记得做桂花莲藕哦。,1
也祝您国庆快乐、重阳怡然！,1
我觉得你就是我的神！你一说我就到大峡谷了！,1
哈哈哈赞一个！！！,5
你干嘛了,3
第一次吃螃蟹！,0
那早培班算是先胖还是后胖呢？,0
应该算后胖。因为他们的成绩确实暂时不如16、15班,3
你干嘛也起那么早？,0
早睡早起，方能养生~,0
杂了？,3
哎昨天你幸好没来,2
你也夜市阿你们是想把夜市垄断咩,3
哈哈，你嫩子晓得，我要一条街了是我的人。,5
请为白血病人奉献一份爱心,0
居然还有人说你有爱？世风日下！,3
爪子老爪子老,0
遇到一群疯子，今天也深刻体会到那种欺软怕硬的女人！太可笑了！,3
记上一个,0
哈，好！,5
好有爱,1
太强悍了！！那个面跟叶子,1
办好没有？,0
办了三方可以免费送网银嘎？,5
女人，我正在上社会心理学,0
你要给我看看吗？能确诊吗？,4
三上料理有贵宾卡吗？,0
三上日本料理只有储值卡，储值使用后积分可以送菜。欢迎光临哦！,1
唉，那就自认倒霉了。,2
是地但那是我的生日礼物诶，我妈说再送我一块，但也难以磨灭我的恨意！,2
什么样的什么样的！,4
我买了透明的，感觉好容易碎！,2
啥时候回来呢?,0
准备下午三点动车,0
白痴、困高起类,0
起床啦~猪头!,5
咋了,3
社会经验不足看明白的时候晚了呗,0
你敢请我吃不？,3
你敢来北京我就敢请，敢来不?,4
陆总是双料，要奖双份粉丝,1
泪奔，雨夜狂奔回龙口,2
"地铁问题请咨询,谢谢！",0
那不能来一次大型整治把那些黑车一起查处不就可以了吗?,3
年纪大的会帮他的！,0
是个年纪大的下车慢了啦喊，我也想帮她喊，但是觉得会很尴尬！,2
一把年纪的温总走走跌跌，好可怜的,2
哈哈哈。可怜？,5
我要一样一样吃齐全。。。,1
我也觉得，你什么时候来北京玩，咱一样一样尝哈,1
这个眼线笔超好用的，我打算再败一支了。你买的是啥色的？,1
黑色，可是我咋用了还是有点点晕了呢？用起来的效果很不错呢,1
我也爱你哦,1
我也爱你喔。,1
对手不强，呵呵,3
加油。,1
好想去那么美的地方流浪哦，可是偶现在要出工！,1
支持你,1
馨字似乎打错了=。=,0
尼玛。没有。她自己跟我说了是那个馨,4
大的因它而郁闷，而且我也觉得操心。嘉嘉那我还瞒着呢,2
你让他做流浪狗狗去啦？我这就给嘉打电话告诉她,4
淘宝店铺使用的,0
淘宝店铺使用的,0
赶紧结了呀,0
"哎,一言难尽啊,悲从中来啊,",2
妹妹，这说明你缺乏运动啊！我会严厉的鞭策你锻炼的，绝对不会手软的,3
我怎么发现，我脖子好像伤掉了,2
我等着，边看月儿圆圆边吃哦,1
唉！我看不了啊！,2
我早上经过，收工翻来剩翻堆毛,0
咦~无胃口吃火龙果啦我,5
舍不得舍不得，心情和你一样,2
异地恋的孩子伤不起啊,2
常在您这边瞅瞅，比在商家这里看噱头，有意思多啦~,1
恩，我是干体力活的，不会说话，喜欢摆弄相机,1
呃你好坏~,3
我这坏人负责教会你识破谎言！,4
这跟卖国有关系吗？请愤青伪球迷到旁边去爱国好吗~~,4
中国的汉奸还真多，怪不得中国足球搞不好了,3
支持化石去参赛,1
哈哈，化石去观战,5
可怜的,2
唉唉，一切尽在不言中啊，,2
作为金华人，我很愤怒！,2
哈哈！听听也是有道理的！,5
不要.你们那群男生那么猥琐我那么纯洁我会被你们玷污的,3
我要举报你这家伙说10班男生猥琐都来扁他,4
你陪谁啊…有什么好解释的呢…,3
还有谁！你们这帮了为！,4
哇，你这个愤青啊,3
哥这不是帮你们出气呢嘛,4
公租房呢，有最新进展吗,0
尚未有最新进展，请关注。,0
超载超载,3
人家很无害的说。。,3
恐怕要坑,3
如果像……圣魔之血一样坑，那就悲剧了,2
我在研读苏东坡东坡肘子的那个东坡,1
恩，要立志做一个有人文气息的设计师！,1
哈哈需要我的改造,5
哈哈哈，大牌给改造收费不,5
了不起啊，哼，真爱要低调的,1
低调个屁啊，你们两个就不是低调的人我告诉你,3
你很牛，记性很好！记起了就好！,1
哈哈，不过没忘了睡觉。,5
跟我的名字一样,0
呵呵，这也算是一种缘份吧！,5
富士康会邀请小妖去那里工作的~,0
哈哈哈富士康会很期待这些小妖的,5
那你是怎样的你呢,0
体验为实。,1
你还没结婚打神马电话拜年扮嘢啊你,4
今年我就没的办法给咱爸妈拜年了哦不要怪我我知道是我错,4
怎么了啦？坚强点，不要要我担心哦,2
5知点讲你g,0
初步估计，如果你生男孩，很有可能突破1米9,0
播种网算的男孩身高是192，女孩168，哎，还没我高,2
你激动啥……,3
凡是第一次总有点紧张~~~,2
你有多久没见你儿子了啊,0
将近1个月了,0
2比0艰难小胜,0
采访一下，有何感想？,0
大四眼怪,0
叉死你只大头怪妖人受死啦！！,4
安路升，呵呵呵，一路高升,5
都姓安啊，别看成安武林就行。,3
你是少林寺的吧,0
